word	ipa	russian_def	georgian_def
კულე	k'ule	Сухуми	სოხუმი
კუმა	k'uma	дым	ბოლი, კვამლი
კუმინი	k'umini	стон	კვნესა
კუმპული см. კოპული2	k'ump'uli см. k'op'uli		
კუმუნთხური	k'umuntxuri	щавель дикий крупнолиственный (растение с бархатистыми листь-	მჟაუნა, ღოლო ями – останавливает кровь)
კუნა1//კჷნა	k'una//k'əna	держать	ჭერა
კუნა2//კჷნა	k'una//k'əna	тянуть	თრევა, წევა
კუნდი	k'undi	кал, экскременты	განავალი
კუნელი	k'uneli	боярышник	კუნელი
კუ(ნ)თი	k'u(n)ti	1. голень 2. мускул, мышца	კანჭი, წვივი 2. კუნთი
კუნთხუ	k'untxu	угол, край, сторона	კუთხე, მხარე
კუნო	k'uno	кузов (рыболовный); плетеная корзина для рыбы	კალათა (თევზსაჭერი); დაწნული გიდელი თევზის საჭერი 172 კ
კუ(ნ)ტა	k'u(n)t'a	короткий; низкий	მოკლე; დაბალი
კუნწული	k'unt͡suli	верхушка, кончик	წვერი
კუპატი	k'up'at'i	купаты, род колбасы	კუპატი, ძეხვი
კურდგელი см. ჸურდგელი	k'urdgeli см. ‘urdgeli		
კურზუ1	k'urzu	изящный	კოხტა
კურზუ2	k'urzu	1. возвышенное место 2. топон. название села (в Мартвильском	ამაღლებული ადგილი 2. სოფლის სახელი (მარტვილის районе) რაიონში)
კურზულე см. ადგილი კურზუ	k'urzule см. adgili k'urzu		
კურთა	k'urta	1. кальсоны, подштанники 2. трусы	ნიფხავი 2. ტრუსები
კურთალარი	k'urtalari	шнур (трусов, штанов)	ხვანჯარი
კურთხა см. კურთხუა	k'urtxa см. k'urtxua		
კურთხუ см. კუნთხუ	k'urtxu см. k'untxu		
კურთხუა: აკურთხენს, აკურთხუ	k'urtxua: ak'urtxens, ak'urtxu	благословение; благословлять > он благословляет, он благословил	კურთხევა, ლოცვა-კურთხევა> აკურთხებს, ლოცავს; აკურთხა, დალოცა
კურკანტელა	k'urk'ant'ela	маленькие кругленькие плоды кустарника павой (едят дрозды)	ეკალღიჭას ნაყოფი, კურკანტელა (ჭამენ შაშვები)
კურტანი	k'urt'ani	вьючное седло	კურტანი
კურტუმო	k'urt'umo	огузок	კურტუმი
კურცხას	k'yrcaxas	бодро	ფხიზლად
კურცხე	k'urcxe	1. бодрствующий 2. бодрый, шустрый	ფხიზელი 2. მარდი, მხნე, ცქვიტი კურცხინაფა: იკურცხინუანს, გიიკურცხინუუ; ოკურცხინუანს, გაკურცხინუუ [k'urcxinapa: ik'urcxinuans, giik'urcxinuu; ok'urcxinuans, gak'urcxinuu] будить, пробуждаться; просыпаться> он пробуждается, он пробу- дился; он будит его, он разбудил его გაღვიძება, გამოღვიძება > ის იღვიძებს, მან გაიღვიძა; ის აღვიძებს, მან გააღვიძა
კუსაფი: კუსანს	k'usapi; k'usans	стон, стонать>он стонет	კვნესა > ის კვნესის
კუტა см. კუ(ნ)ტა	k'ut'a см. k'u(n)t'a		
კუტუ	k'ut'u	penis (детский) penis (	ბავშვის)
კუტულა	k'ut'ula	мальчик	ბავშვი
კუჩხა см. მაკუჩხური	k'ut͡ʃxa см. mak'ut͡ʃxuri	гость, посетитель семьи 1-го и 2-го января 2	იანვრის მეფეხობა, მეკვლე
კუჩხაბედნიერი	k'ut͡ʃxabednieri	название свадебной песни (букв. счастливые ноги) «	კუჩხაბედნიერი» საქორწილო სიმღერა (სიტყვასიტყვით ბედნიერი ფეხი)
კუჩხა-დღა	k'ut͡ʃxa-dɣa	букв. день ноги (первый посетитель семьи, ступивший на порог	ფეხობის (ბედობის) დღე дома и определяющий судьбу семьи на весь год)
კუჩხამი: სუმიკუჩხამი	k'ut͡ʃxami: sumik'ut͡ʃxami	имеющий ногу > треногий	ფეხიანი > სამფეხიანი, სამფეხა
კუჩხი	k'ut͡ʃxi	нога	ფეხი
კუჩხ(ი)მოდვალი	k'ut͡ʃx(i)modvali	обувь	ფეხსაცმელი
კუჩხუჩაფულე	k'ut͡ʃxut͡ʃapule	без обуви, безлапотный	უფეხსაცმლო, უხამლო
კუცი см. ბარცხინი	k'uci см. barcxini	полуб	ბაძგი
კუჭალუა	k'ut͡ʃ'alua	комкать	ჭმუჭნა
კუჭი	k'ut͡ʃ'i	желудок	კუჭი
კუჭმაჭი	k'ut͡ʃ'mat͡ʃ'i	субпродукты, потроха (птицы)	კუჭმაჭი
კუჭოლირი	k'ut͡ʃ'oliri	скомканный	დაჭმუჭნილი
კუჭოლუა//კუჭალუა	k'ut͡ʃ'olua// k'ut͡ʃ'alua	комкать	ჭმუჭნა
კუჭუ-კუჭუ	k'ut͡ʃ'u-k'ut͡ʃ'u	маленький, малорослый, низкорослый	პატარა; ტანდაბალი, ტანმორჩილი
კუჭული	k'ut͡ʃ'uli	1. макушка (сам.) 2. хохол, хохолок 3. кисть, кисточка (у башлыка)	წვერი 2. ქოჩორი 3. ბაშლაყის ფოჩი, კუნჭული
კუჭუჭი см. ხუჭუჭი	k'ut͡ʃ'ut͡ʃ'i см. xut͡ʃ'ut͡ʃ'i		
კუხაფი	k'uxapi	кудахтать (о наседке)	კრუხვა (ქათმის); კრუხის მიერ გამოცემული ხმა
კუხი см. კობუ	k'uxi см. k'obu	незрелый, неспелый	მკვახე, მოუსვლელი,უმწიფარი
კუხუა см. კუხაფი	k'uxua см. k'uxapi	быть наседкой	კრუხობა
კჷჟილი см. ღიჟილი	k'əʒli см. ɣiʒili	174	ლ ლ
ლაბანი: ლაბანი ჭკომი!	labani: labani t͡ʃ'k'omi	очень горький; перен. мор, чума > мор, чума с тобой!	ლაბაშა [labaʃa] (сам.), абх. длинная деревянная палка с железным наконечником и железной или деревянной рукояткой для путешествия в горах (И. Кипш.) ძალიან მწარე; გადატ. ჭირი > ჭირი ჭამე! რკინისწვეტიანი, ხის გრძელი ჯოხი, რკი-ნის ან ხის კაუჭით და სახელურით, მთაში სიარულის დროს იყენებენ (ი. ყიფშ.)
ლაბაში	labaʃi	лаваш	ლავაში
ლაბერჯი	laberd͡ʒi	ключица у птиц	ლავიწი (ფრინველის)
ლაბირწი см. ლაბერჯი	labirt͡si см. laberd͡ʒi		
ლაბშა см. ლაფშა: ლაბშა პაღურა	labʃa см. lapʃa: labʃa p'aɣura	мерин > мерин ретивый (И. Кипш.)	ლაფშა, იაბო > ფიცხი ცხენი (ი. ყიფშ.)
ლაგამამი (ცხენი)	lagamami(cxeni)	взнузданный (о лошади)	ლაგმიანი ცხენი
ლაგამი	lagami	удила; узда, уздечка	აღვირი; ლაგამი
ლაგვა	lagva	1. неуклюжий, беспомощный 2. тупой, дурашливый	ტლანქი, უხეში, უმწეო 2. ჩლუნგი, ლუნგი
ლაგვალი	lagvali	1. болтать 2. бессмысленное хождение	ლაყბობა 2. ბოდიალი, ბორიალი
ლაგვანი	lagvani	большой глиняный кувшин для вина	ქვევრი, ჭური (ღვინის)
ლაგვეგი	lagvegi	тупой	ბლაგვი, ლუნგი, ჩლუნგი
ლაგვეგობა	lagvegoba	тупость	ჩლუნგობა, გადატ. სიბრიყვე
ლაგვიმორია	lagvimoria	папоротник	გვიმრა, ჩადუნა
ლაგვირი	lagviri	жеванный	დაღეჭილი, ნაღეჭი
ლაგუა	lagua	жевать	ღეჭა
ლაგუჯი	lagud͡ʒi	полушубок, накидка из телячьей или козьей шкуры	ტყაპუჭი
ლადერე см. ლადირი	ladere см. ladiri		
ლადირი//ლადჷრი: ლადჷრ ხორცი	ladiri//ladəri: ladər xorci	1. сырой, невареный, парное мясо 2. свежий	ნედლი; უმი (ხორცი) 2. ახალთ ახალი
ლადირო//ლადჷრო	ladiro//ladəro	в сыром виде	ნედლად, უმად
ლავიწი//ლაბირწი	lavit͡si//labirt͡si	лопатка	ბეჭი, ლავიწი
ლაზი	lazi	чан, лаз	ლაზი, ჭანი
ლაზური	lazuri	чанский, лазский (язык)	ლაზური, ჭანური (ენა)
ლაზუტი	lazut'i	кукуруза, маис	სიმინდი (მცენარე და ნაყოფი)
ლა(ი)ტი см. ლაზუტი	la(i)t'i см. lazut'i		
ლაკანცია	lak'ancia	акация	აკაცია, ეკლის ხე
ლაკარტი	lak'art'i	1. язык (змеи) 2. жало 3. ботан. гречка пальчатая	გველის ენა 2. ნესტარი 3. ლაკარტია
ლაკვატა см. ლაკუ(ნ)ჩხა	lak'vat'a см. lak'u(n)t͡ʃxa	короткая палка, метательная (для сбивки плодов и для игр)	მოკლე ჯოხი, სასროლი (იყენებენ ხიდან ნაყოფის ჩამოსაყრელად და სათამაშოდ); ჭოლოკი
ლაკვატია	lak'vat'ia	маленькая метательная палка	პატარა ჭოლოკი
ლაკვაჩხჷრი см. ნაკვაჩხირი	lak'vat͡ʃxiri см. nak'vat͡ʃxiri		
ლაკვი	lak'vi	щенок	ლეკვი
ლაკინჩხა	lak'int͡ʃxa	клён	ნეკერჩხალი
ლაკუ(ნ)ჩხა см. ლაკვატა	lak'u(n)t͡ʃxa см. lak'vat'a		
ლალა	lala	1. глупый 2. хищник, жадный 3. лентяй	ბრიყვი, რეგვენი, შტერი 2. მტაცებელი, მძარცველი 3. ზარმაცი, მცონარე
ლალი!	lali	лай!	იყეფე!
ლალუა: ჯოღორიში ლალუა	lalua: d͡ʒoɣoriʃi lalua	лаять > лай собаки	ლალუუ [laluu] прич. лаящий მყეფარე
ლამა, ლამება//ლამუა	lama, lameba//lamua	1. понять, смекнуть; хотение 2. попытка, пытаться	ყეფა > ძაღლის ყეფა 1. გაგება; ლამობა; ნდომება; მიხვდომა 2. მცდე-ლობა, ცდა
ლამაზი	lamazi	красивый	ლამაზი
ლამი	lami	сырость	ნესტი
ლამე	lame	влажный, сырой (о земле, белье и т.д.)	ლამოსი см. ნამუსი [lamosi см. namusi] совесть ნამუსი, სინდისი
ლამფირი см. ლოფინი	lampiri см. lopini		
ლანდა см. ლანდირი, ლონდირი	landa см. landiri, londiri	(основа) бревна (верхние и нижние), к которым приколачивают- ся доски пола и потолка	
ლანდი	landi		
ლანდირი см. ლანდა, ლონდირი	landiri см. landa, londiri		ნესტიანი (მიწა, საცვალი და ა.შ.) ხის დირე (ზედა და ქვედა), რომელზედაც ეჭედება ჭერისა და იატაკის ფიცრები 176 ლ
ლანდუა	landua	1. мерещиться 2. видение в свете куриных яиц	ლანდვა 2. სინათლეზე გალანდვა (ქათმის კვერცხისა)
ლანდღვე	landɣve	мутный	მღვრიე
ლანდღვირი	landɣviri	мутный (напр., река)	მღვრიე, ამღვრეული (მაგ., მდინარე)
ლანდღუა	landɣua	мутить (воду)	ამღვრევა (წყლის)
ლანჭა см. ლარჭა	lant͡ʃ'a см. lart͡ʃ'a		
ლანჯა см. ლინჯი	land͡ʒa см. lind͡ʒi	медь	სპილენძი
ლა(ნ)ჯი	la(n)d͡ʒi	ясень	იფანი, კოპიტი
ლაპარტყია	lap'art'q'ia	плоский, тонкий	ბრტყელი
ლარტყა	lart'q'a	рейка на крыше под дранью и черепицей, к которой они прико-	ლარტყა, ლატანი лачиваются
ლარჭა	lart͡ʃ'a	цепь для котла над очагом	ჯაჭვი შუაცეცხლზე, ნაჭა
ლარჭამი см. ლარჭემი	lart͡ʃ'ami см. lart͡ʃ'emi		
ლარჭემი	lart͡ʃ'emi	1. камыш 2. свирель (из камыша)	ლერწამი 2. ლერწმის სალამური
ლასირელი	lasireli	наточенный, заточенный	გალესილი ლასირუა//ლასჷრუა: ლასირანს, გოლასირუუ; ილასირუუ [lasirua// lasərua: lasirans, golasiruu; ilasiruu] точить, штукатурить> он точит, штукатурит; он наточил, отшту- катурил; он точится (გა)ლესვა, (გა)პირვა > ის ლესავს, პირავს; მან გალესა; ილესება, იპირება
ლასტი см. ლაზუტი	last'i см. lazut'i		
ლასუა	lasua	1. стереть 2. смешать 3. уничтожать 4. расстроить что-либо	წაშლა 2. რევა, შეზავება 3. განადგურება, მოსპობა 4. მოშლა
ლატყვაჟია	lat'q'vaʒia	плохое ружье	ცუდი, უხეირო თოფი
ლაფა	lapa	падать	ვარდნა
ლაფათქია	lapatkia	лопата	ნიჩაბი
ლაფანი//ლეფანი	lapani//lepani	лапина, крыло орешник	ლაფანი
ლაფარა	lapara	площадь вокруг дома; навес, стреха (И. Кипш.)	ლაფარე, ლაფარო (ი.ყიფშ.)
ლაფართია	lapartia	плоский, плосковатый	ბრტყელი, მობრტყელო
ლაფაჩე//ლაფაჩა	lapat͡ʃe//lapat͡ʃa	неглиже; одетый по-домашнему, легко	თავისუფლად, შინაურულად შილიფად ჩაცმული; შილიფად ჩაცმა
ლაფაჩეთ//ლაფაჩათ	lapat͡ʃet//lapat͡ʃat	неглиже	შილიფად (ჩაცმულობა)
ლაფი	lapi	грязь	ლაფი, ტალახი
ლაფშა	lapʃa	мерин	დაკოდილი ცხენი, ლაფშა; იაბო
ლაფშამი	lapʃami	губастый	დიდტუჩიანი, ლაშიანი
ლაფში	lapʃi	большая губа, рыло	დიდი ტუჩი, ლაში; დინგი, დრუნჩი
ლაქვათი см. ქვანთილა	lakvati см. kvantila	курдюк (овцы, барана)	დუმა (ცხვრისა)
ლაქვათია	lakvatia	лосось, сом	ლოქო, ორაგული
ლაღანკონი	laɣank'oni	мера веса; ручные весы	ხელის სასწორი, ცალსასწორა
ლაყე	laq'e	флегматичный	ლაყე, მოუხერხებელი, უსიცოცხლო, დონდლო
ლაყურში//ლაჸურში	laq'urʃi//la‘urʃi	жабра (рыбы)	ლაყუჩი
ლაშქარი	laʃkari	армия, войско	ლაშქარი, ჯარი
ლაშქუა//ლაშქარუა	laʃkua//laʃkarua	поход; перен. портить (огород, посевы)	ლაშქრობა; გადატ. გათელვა, გაფუჭება (ბოსტნის, ყანის)
ლაწკარი	lat͡sk'ari	ряд, вереница	მწკრივი, რიგი
ლახალა	laxala	болезнь	ავადობა, ავადმყოფობა
ლახანა	laxana	капуста (кочанная), капуста с раскрытыми листьями	ლახანა
ლახარა см. ლახალა	laxara см. laxala		ლახება: ილახებუ, დეელახუ//დიილახუ, დალახებე(რე) [laxeba: ilaxebu, deelaxu//diilaxu, dalaxebe(re)] болеть> он болеет, заболевает; он заболел, оказывается он ავადმყოფობა, ავად გახდომა> ის ავადაა, ავადდება; заболел ის ავად გახდა, დაავადდა; ის ავად გამხდარა, დაავადებულა
ლახთი	laxti	булава, палица	ლახტი, რახტი
ლახირი	laxiri	избитый	გალახული
ლახუა: ლახუნს, გოლახუ; ილახუუ, გიილახუ	laxua: laxuns, golaxu; ilaxuu, giilaxu	бить, избить> он бьет его, он избил его; он избивается, он был	გალახვა, ცემა > ის მას ცემს, ლახავს; მან ის სცემა, избит გალახა; ის იცემება, ილახება; ის იცემა, გაილახა
ლახუტი см. ლაგვანი	laxut'i см. lagvani	маленький, глиняный кувшин (для хранения вина)	პატარა ქვევრი (ღვინის შესანახად)
ლახუტია см. ლახუტი	laxut'ia см. laxut'i		
ლაჸაფი	la±api	1. игра, забава 2. перен. шутка	თამაში, გართობა 2. გადატ. ხუმრობა 178 ლ
ლაჯი см. ლა(ნ)ჯი	lad͡ʒi см. la(n)d͡ʒi		
ლაჸურში	la±urʃi	жабра (рыбы)	ლაყუჩი ლება1 см. გოლება [leba см. goleba]
ლება2	leba	ждать	ლოდინი ლება3 см. შელება [leba см. ʃeleba] мочь, суметь ძლება, შეძლება
ლება (შურიში)	leba(ʃuriʃi)	замолкать	გაჩუმება, დადუმება, ხმის გაკმენდა
ლები1	lebi	синий	ლურჯი
ლები2	lebi	матрац, тюфяк	ლეიბი, დოშაკი
ლებია	lebia	фасоль	ლობიო
ლეგუცი	leguci	неэлегантный, неприглядный, неуклюжий	არაელეგანტური, უშნო
ლეზვა	lezva	слюна, слизь	დორბლი, ლეზვი; ლორწო
ლეკამი см. ლეკი	lek'ami см. lek'i	илистый	შლამიანი
ლეკერი	lek'eri	избитый (сильно)	ნაცემი (მაგრად)
ლეკვერთხი	lek'vertxi	подвески (на поясе), подвязка	ლეკვერთხი
ლეკი	lek'i	1. ил 2. плодородная земля	შლამი 2. ნაყოფიერი მიწა
ლეკუა	lek'ua	1. бить, лупить 2. свалить, бросить (множество предметов)	ბეგვა, ცემა (მაგრად) 2. დაყრა (ბევრი რამის)
ლეკურამი	lek'urami	имеющий шашку, саблю	ლეკურიანი, ხმლიანი
ლეკური	lek'uri	шашка	ლეკური, ხმალი
ლეკუხა	lek'uxa	крушина (ломкая), жестер	ხეჭრელა, ლუკუფხა
ლელეცი	leleci	селезенка	ელენთა, ტყირპი
ლელუა	lelua	синеть, синить	გალილავება, გალურჯება
ლენჩი	lent͡ʃi	глупый, дурашливый, тупой	მოსულელო, სულელი, შტერი, ჩლუნგი
ლენჭყი	lent͡ʃ'q'i	болото	ჭაობი
ლენჭყონა	lent͡ʃ'q'ona	болотистое место	ჭაობიანი ადგილი
ლეპა	lep'a	слюна (детей)	დორბლი (პატარა ბავშვის)
ლეპი	lep'i	слюна (животного)	ბილწი ლეპი, ნერწყვი
ლეჟვა	leʒva	пена (животного)	დორბლი, დუჟი
ლეჟვამი	leʒvami	с текучей пеной (животное)	დორბლიანი
ლერე	lere	ось	ღერძი
ლერსი см. ლექსი	lersi см. leksi		
ლერჩქვი см. ლეჩქვი	lert͡ʃkvi см. let͡ʃkvi		
ლერცი см. ლექსი	lerci см. leksi		
ლერწი	lert͡si	черенок виноградной лозы	ლერწი
ლერ(ჭ)ყვა	ler(t͡ʃ')q'va	слюна	ნერწყვი
ლეტა	let'a	1. грязь 2. глина	ტალახი 2. თიხა
ლეტამი	let'ami	грязный	ტალახიანი
ლეფანი см. ლაფანი	lepani см. lapani		
ლეფონი см. ლაფანი	leponi см. lapani	лапина, крыло орешник	ლაფანი, ლაფნის ხე
ლე(ფ)ში см. ლიფში	le(p)ʃi см. lipʃi	иголка	ნემსი
ლექინი//ლექჷნი	lekini//lekəni	легкий	მსუბუქი
ლექინო//ლექჷნო	lekino//lekəno	легко	მსუბუქად
ლექსი см. ლერსი	leksi см. lersi	стихотворение, стих	ლექსი
ლეყვი см. ლიყვი, ლუყი	leq'vi см. liq'vi, luq'i		
ლეჩექი	let͡ʃeki	женская вуаль	ლეჩაქი
ლეჩქვი	let͡ʃki	губа	ბაგე, ტუჩი
ლეჩხომა	let͡ʃxoma	Лечхуми	ლეჩხუმი
ლეხი	lexi	больной	ავადმყოფი
ლეხიანი	lexiani	больной	ავადმყოფი
ლიბას	libas	мягко	რბილად
ლიბუ//ლჷბუ	libu//ləbu	мягкий; слабый	რბილი
ლიბუა	libua	прикасаться для опробования на прочность	შეხება სიმკვრივის გასასინჯად 180 ლ
ლიება	lieba	уменьшать(ся) (	და)ლევა, გათავება; დაპატარავება
ლივერი	liveri	револьвер	რევოლვერი
ლიკვი см. ნიკვი	lik'vi см. nik'vi	кулак	მუჭი
ლილა	lila	синька	ლილა
ლილუა	lilua	синить, синеть	გალურჯება, გალილისფერება
ლიმა//ლჷმა: ილჷნს, ილიმუ;	lima// ləma: iləns, ilimu	война, волнение; борьба; воевать, бороться > он воюет, он воевал	მღელვარება, ომი; ბრძოლა, ჭიდილი > ის ომობს (იბრძვის); მან იომა (იბრძოლა)
ლინჯი//ლჷნჯი	lind͡ʒi//lənd͡ʒi	медь	სპილენძი
ლინჯიშ კარდილა	lind͡ʒiʃ k'ardila	медный котел	სპილენძის ქვაბი
ლიპუა	lip'ua	1. залепить (оплеуху в лицо) 2. мазать, подмазывать	სილის გაწვნა, დაწებება (დააწებებს) 2. წასმა, (წა)ცხება (ლ)ისმარი//ლჷსმარი [(l)ismari//ləsmari] гвоздь ლურსმანი
ლისირი//ლისჷრი см. ისირი	lisiri//lisəri см. isiri		
ლიფონი//ლეფონი	liponi//leponi	лапина, крыло орешник	ლაფანი
ლიფსი	lipsi	заноза	ხიწვი
ლიყვი см. ლუყი	liq'vi см. luq'i		
ლიშანი см. ნიშანი	liʃani см. niʃani		
ლი(ფ)ში см. ლე(ფ)ში	li(p)ʃi см. le(p)ʃi		
ლოგინი	logini	постель; кровать	ლოგინი, საწოლი; ტახტი
ლოგინუა//ლოგონუა: მუშა ლოგონანქ?	loginua//logonua: muʃa logonank?	оценивать > как оцениваешь?	დაფასება > რამდენად აფასებ?
ლოგინუა	loginua	стелить, постелить	ლოგინის გაშლა, დაგება
ლოდი см. ტკილი	lodi см. t'k'ili	валун, глыба (камня)	რიყის ქვა, ლოდი
ლოდინი см. ლება2	lodini см. leba	ожидание	ლოდინი
ლოდი-ტყვია	lodi-t'q'via	тяжелый слиток свинца	ტყვიის მძიმე ზოდი
ლოდო	lodo	тупой	ჩლუნგი
ლოკუა: ლოკუნს//ლოკჷნს, ლოკუ	lok'ua: lok'uns//lok'əns, lok'u	лизать> он лижет, он облизал	ლოკვა > ის ლოკავს, მან გალოკა
ლოლირი	loliri	закоптелый, закопчёный	გაჭვარტლული, ჭვარტლიანი
ლოლუა1	lolua	коптить	ბოლვა, (გა)ჭვარტლვა
ლოლუა2	lolua	гнать, выгонять (	გამო)დენა, (გამო)რეკ(ვ)ა
ლომი	lomi	лев	ლომი
ლო(ნ)დი: ლო(ნ)დი ტყვია	lo(n)di:lo(n)di t'q'via	глыба; большой, тяжелый > тяжелый слиток свинца	ლოდი, ბელტი; დიდი, მძიმე > ტყვიის მძიმე ზოდი
ლონდირი см. ლანდა	londiri см. landa		
ლონტკუა: ჯოღორქ წყარი გელონტკუ	lont'k'ua: d͡ʒoɣork t͡sq'ari gelont'k'u	1. лизать 2. лакать > собака лизнула воду	ლოკვა 2. ტლეკვა, სვლეპა > ძაღლმა წყალი შესვლიპა
ლონტყაფა/ი	lont'q'apa/i	валяться в грязи, копошиться в грязи, в луже (о буйволе, свинье)	ტალახში გორაობა, ტყლაპუნი (კამეჩის, ღორის)
ლოუ	lou	немой	ბლუ; მუნჯი
ლოფინი	lopini	1. деревянная основа (колодца) 2. пол (арбы)	ხის საფუძველი (ჭის) 2. ურმის იატაკი
ლოფორს/ცო	lopors/co	косноязычный	ბლუ, ენაბორძიკა, ენადაბმული
ლოქორუა	lokorua	улитка	ლოკოკინა
ლუაფა см. გოლუაფა	luapa см. goluapa		
ლუბა//ლჷბა см. უბა	luba//ləba см. uba		
ლუგა	luga	глупец, дурак, тупой	ბრიყვი, ლუგი, ჩერჩეტი, ჩლუნგი
ლუდი	ludi	пиво	ლუდი
ლუდუკი	luduk'i	сказочное имя	ზღაპრული სახელი
ლუკა	luk'a	кусок	ლუკმა
ლუკა-ლუკათ	luk'a-luk'at	на куски	ლუკმა-ლუკმად
ლულუ//ლჷლჷ	lulu//lələ	грудное (дитя)	ძუძუთა (ბავშვი)
ლუმჯი	lumd͡ʒi	вечер	საღამო
ლურე//ლჷრე//ჲურე	lure//ləre//jure	запор, засов	ურდული
ლურენჯი	lurend͡ʒi	спящий	მძინარე
ლური//რული	luri//ruli	сон	ძილი
ლურიშგუდა	luriʃguda	дождевик (гриб), дымчатка, порховка	ფშუკურა
ლურჯი	lurd͡ʒi	синий	ლურჯი 182
ლუღი	luɣi	инжир	ლეღვი
ლუყი см. ლეყვი//ლიყვი	luq'i см. leq'vi//liq'vi	1. род капусты 2. омела	ლახანა 2. ფითრი
ლუხუმი//ლჷხჷმი	luxumi//ləxəmi	1. мощный 2. неотесанный (о человеке), непонятливый, непони- мающий 3. дикий	ძალოვანი 2. გაუგებარი 3. გარეული ლ მ
მა	ma	я, мне, меня	მე
მა(ა)ლუ	ma(a)lu	ходящий, ходок; текучий	მავალი; მდინარი
მა(ა)ლწყარი	ma(a)lt͡sq'ari	проточная, текучая вода	გამდინარე, მდინარე წყალი
მაამშვა	maamʃva	шестой	მეექვსე
მაანთხა//მაონთხა	maantxa//maontxa	четвертый	მეოთხე
მააღალარი	maaɣalari	что надо принести, ноша	მოსატანი
მაბარგალი	mabargali	мотыжащий	მთოხნელი, მმარგვლელი
მაბარუუ	mabaruu	гусеница	მუხლუხო
მაბზაკუნა см. მაზაკელა	mabzak'una см. mazak'ela		
მაბირუ	mabiru	певчий > певец	მომღერალი
მაბონალი	mabonali	моющий (	და)მბანი
მაბჟალია	mabʒalia	молочай (род травы)	რძიანა (ბალახი)
მაბშალია см. მაფშალია	mabʃalia см. mapʃalia		
მაგალითი	magaliti	пример, образец	მაგალითი
მაგანა1	magana	серп	ნამგალი
მაგანა2	magana	1. ширина, шириной в… 2. сторона	სიგანე, სიგანით (რაღაცის ტოლი) 2. მხარე
მაგარენჯა	magarend͡ʒa	плакса	მტირალა
მაგაფალი	magapali	1.сборщик податей 2. плательщик (тот, кто платит)	ბეგარის ამკრეფი, გადამხდევინებელი 2. გადამხდელი (ვინც იხდის)
მაგვიმარია	magvimaria	папоротник (черный)	ჩადუნა
მაგიმალი//მაგჷმალი	magimali//magəmali	жнец	მთიბველი, მომკელი
მაგინაფალი//მაგჷნაფალი	maginapali//magənapali	вестник (траура); тот, кто приносит весть о смерти	გარდაცვალების შესახებ ამბის მომტანი, შემტყობინებელი 184 მ
მაგირძა//მაგჷრძა	magird͡za//magərd͡za	длиной (с что-либо); длинный, как…	სიგრძის; ისე გრძელი, როგორც…
მაგლონია	maglonia	магнолия	მაგნოლია
მაგორალი	magorali	1. ищущий 2. искатель	მძებნელი 2. მაძებარი
მაგორაფალი	magorapali	ругающий	მგინებელი, მლანძღველი
მაგორუ(უ) см. მაგორალი	magoru(u) см. magorali		
მაგუ	magu	сапоги	ჩექმა, ნებისმიერი ხამი ფეხსაცმელი
მაგუია	maguia	сапожки	ნებისმიერი ხამი პატარა ფეხსაცმელი
მაგურაფალი	magurapali	1. учащийся 2. учитель	მოსწავლე 2. მასწავლებელი
მაგურაფუ см. მოგურაფუ	magurapu см. mogurapu		
მაგური	maguri	подобный	მსგავსი
მადაღალი	madaɣali	ставящий клеймо (	და)მდაღველი
მადგუმალი//მადგჷმალი	madgumali//madgəmali	ставящий	დამდგმელი; მიმდგმელი
მადენი	madeni	1. руда 2. клад, сокровище	მადანი 2. განძი, საუნჯე
მადვალარი	madvalari	что надо надеть (об обуви)	ჩასაცმელი (ფეხზე)
მადიდა	madida	большой (как что-либо); такой большой, как…	სიდიდის; ისე დიდი, როგორც…
მადილოსანი//მადჷლოსანი	madilosani//madəlosani	женщина, дама	მანდილოსანი
მადინაფალი	madinapali	теряющий; кто теряет (	და)მკარგავი, (და)მკარგველი
მაეფა	maepa	такой дешевый, как…; дешевизна	ისე იაფი, როგორც…; სიიაფე, იაფობა
მაეჩა	maet͡ʃa	двадцатый	მეოცე
მავითა	mavita	десятый	მეათე
მავითაამშვა	mavitaamʃva	шестнадцатый	მეთექვსმეტე
მავითაანთხა	mavitaantxa	четырнадцатый	მეთოთხმეტე
მავითაართა	mavitaarta	одиннадцатый	მეთერთმეტე
მავითო(ბ)რუა	mavito(b)rua	восемнадцатый	მეთვრამეტე
მავითოჟირა	mavitoʒira	двенадцатый	მეთორმეტე
მავითოსუმა	mavitosuma	тринадцатый	მეცამეტე
მავითოშქვითა	mavitoʃkvita	семнадцатый	მეჩვიდმეტე
მავითოჩხორა	mavitot͡ʃxora	девятнадцатый	მეცხრამეტე
მავითოხუთა	mavitoxuta	пятнадцатый	მეთხუთმეტე
მაზაკელა	mazak'ela	трясогузка	მაბზაკუნა, ბოლოქანქარა
მაზაკვალი	mazak'vali	1. ведьма, колдунья 2. гадалка	მზაკვარი, მჩხიბავი 2. მარჩიელი
მაზალი	mazali	месящий, месильщик	დამზელი, მზელავი
მაზვა	mazva	лепешка (из муки и меда)	თაფლისა და ფქვილისაგან მომზადებული კვერი
მაზვი	mazvi	мазь	მალამო
მაზიმალი//მაზჷმალი	mazimali//mazəmali	измеряющий; мерильщик	მზომელი
მაზირალი	mazirali	сборщик (податей)	შემგროვებელი, გადასახადის ამკრეფი, არქაული: მეზვერე
